2021-06-28 08:41:58,720 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '06fae268-61c2-5fca-a60d-bb3bec40419f', 'date': 'Mon, 28 Jun 2021 08:41:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:42:18,750 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '4d85cee7-eac4-5904-8d33-97b46752ad87', 'date': 'Mon, 28 Jun 2021 08:42:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:42:38,775 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'e3df0211-48e7-5269-88aa-5b42c54dfac2', 'date': 'Mon, 28 Jun 2021 08:42:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:42:58,802 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '0d676370-4d0b-5fde-a839-3a23c0b59f7c', 'date': 'Mon, 28 Jun 2021 08:42:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:43:18,840 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '4fc6e95b-b8ca-59af-ae7f-b00835189190', 'date': 'Mon, 28 Jun 2021 08:43:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:43:38,930 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'be8a158e-7685-571d-8dea-4cddfb639040', 'date': 'Mon, 28 Jun 2021 08:43:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:43:58,957 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '8f8e5123-e1d9-5373-9779-08706c239fc4', 'date': 'Mon, 28 Jun 2021 08:43:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:44:18,983 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '0d829f79-34b6-5270-8c56-c62abab8a2ce', 'date': 'Mon, 28 Jun 2021 08:44:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:44:39,010 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'ac979b6f-6d9b-56f2-8294-c23ce3b8a4f7', 'date': 'Mon, 28 Jun 2021 08:44:39 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:44:59,035 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '83fa1e1e-a741-5c2a-82e7-474d2976088c', 'date': 'Mon, 28 Jun 2021 08:44:59 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:45:19,065 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '9ff445de-ea64-57c6-8f94-1c8d642f35b9', 'date': 'Mon, 28 Jun 2021 08:45:19 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:45:39,090 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'b1b20a64-8da6-5f00-9abe-533703f91372', 'date': 'Mon, 28 Jun 2021 08:45:39 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:45:59,121 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '0499c1c4-a6c8-5aa4-98e6-989728bbca7d', 'date': 'Mon, 28 Jun 2021 08:45:59 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:46:19,153 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '76f0d7e0-49e6-5fd3-a8bf-8eb3c76189f3', 'date': 'Mon, 28 Jun 2021 08:46:19 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:46:39,180 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'cbdb0382-ee97-5750-a9f4-5ad1600c201b', 'date': 'Mon, 28 Jun 2021 08:46:39 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
